="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)"
="",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income",="Log Income"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="",="(0.21)",="(0.98)",="(0.51)",="(0.51)",="(0.38)",="(0.34)",="(0.35)",="(0.29)",="(0.30)",="(0.28)",="(0.23)",="(0.21)",="(0.21)",="(0.20)",="(0.18)",="(0.19)",="(0.16)",="(0.16)",="(0.16)",="(0.18)",="(0.16)",="(0.14)",="(0.18)",="(0.14)",="(0.18)"
="Foremen",="1.772*",="1.278",="-0.893",="-0.893",="-0.178",="0.473",="1.023",="0.858",="-0.534",="1.363***",="-0.215",="-0.277",="-0.908**",="-0.089",="-0.335",="-0.272",="-0.024",="-0.392*",="-1.080***",="0.030",="-0.376",="-0.338",="-0.150",="-0.376*",="-0.581**"
="",="(0.85)",="(1.57)",="(0.71)",="(0.71)",="(0.57)",="(0.53)",="(0.52)",="(0.47)",="(0.46)",="(0.35)",="(0.34)",="(0.28)",="(0.28)",="(0.24)",="(0.21)",="(0.23)",="(0.19)",="(0.18)",="(0.22)",="(0.19)",="(0.19)",="(0.18)",="(0.21)",="(0.16)",="(0.21)"
="Low-skilled workers",="3.542***",="0.785",="2.398***",="2.398***",="3.367***",="3.299***",="3.172***",="2.710***",="1.469***",="1.533***",="0.404",="0.130",="-0.214",="-0.126",="-0.347*",="-0.051",="-0.352*",="-0.656***",="-0.575***",="-0.700***",="-0.636***",="-0.832***",="-0.443*",="-0.823***",="-0.696***"
="",="(0.16)",="(0.96)",="(0.49)",="(0.49)",="(0.36)",="(0.31)",="(0.32)",="(0.26)",="(0.28)",="(0.26)",="(0.21)",="(0.19)",="(0.19)",="(0.19)",="(0.16)",="(0.19)",="(0.15)",="(0.15)",="(0.15)",="(0.17)",="(0.16)",="(0.14)",="(0.18)",="(0.14)",="(0.18)"
="Medium-skilled workers",="3.874***",="1.549",="2.413***",="2.413***",="3.663***",="3.494***",="3.454***",="3.190***",="1.751***",="1.825***",="0.845***",="0.492*",="0.222",="0.332",="0.155",="0.237",="-0.038",="-0.179",="-0.094",="-0.264",="-0.203",="-0.264",="0.155",="-0.342*",="-0.249"
="",="(0.18)",="(0.97)",="(0.49)",="(0.49)",="(0.36)",="(0.32)",="(0.32)",="(0.27)",="(0.28)",="(0.27)",="(0.22)",="(0.20)",="(0.20)",="(0.19)",="(0.17)",="(0.19)",="(0.15)",="(0.15)",="(0.15)",="(0.18)",="(0.16)",="(0.14)",="(0.18)",="(0.14)",="(0.18)"
="Unskilled workers",="1.961***",="-0.134",="1.753***",="1.753***",="2.753***",="2.845***",="2.345***",="2.283***",="1.072***",="1.237***",="0.187",="-0.263",="-0.492*",="-0.381*",="-0.623***",="-0.339",="-0.785***",="-0.943***",="-0.811***",="-0.897***",="-0.791***",="-0.978***",="-0.589***",="-0.891***",="-0.628***"
="",="(0.16)",="(0.96)",="(0.49)",="(0.49)",="(0.36)",="(0.31)",="(0.32)",="(0.27)",="(0.28)",="(0.26)",="(0.21)",="(0.19)",="(0.20)",="(0.19)",="(0.16)",="(0.19)",="(0.15)",="(0.15)",="(0.15)",="(0.18)",="(0.16)",="(0.14)",="(0.18)",="(0.14)",="(0.18)"
="White collar",="3.772***",="1.227",="2.684***",="2.684***",="3.917***",="3.625***",="3.396***",="2.994***",="1.757***",="2.128***",="1.319***",="0.950***",="0.655***",="0.740***",="0.466**",="0.665***",="0.364*",="0.301*",="0.386**",="0.152",="0.313*",="0.164",="0.689***",="0.143",="0.352*"
